vel_tan,time_1,time_2,time_3,time_4,time_5
-490.25531069312456,1903.299999998414,3805.8500000366525,5706.9700000781495,7606.030000119602,9502.490000160997
-441.22977962381265,1970.0699999983533,3933.740000039444,5885.940000082056,7823.710000124353,9746.130000166315
-392.20424855450074,2125.039999999964,4189.910000045035,6179.4400000884625,8110.490000130613,10004.410000171953
-343.178717485187,2451.090000007081,4537.880000052631,6453.74000009445,8345.86000013575,10242.240000177144
-294.1531864158751,NaN,NaN,NaN,NaN,NaN
-245.1276553465632,NaN,NaN,NaN,NaN,NaN
-196.10212427724946,NaN,NaN,NaN,NaN,NaN
-147.07659320793755,NaN,NaN,NaN,NaN,NaN
-98.05106213862564,NaN,NaN,NaN,NaN,NaN
-49.02553106931191,NaN,NaN,NaN,NaN,NaN
49.02553106931191,NaN,NaN,NaN,NaN,NaN
98.05106213862382,NaN,NaN,NaN,NaN,NaN
147.07659320793755,NaN,NaN,NaN,NaN,NaN
196.10212427724946,NaN,NaN,NaN,NaN,NaN
245.12765534656137,NaN,NaN,NaN,NaN,NaN
294.1531864158751,NaN,NaN,NaN,NaN,NaN
343.178717485187,2451.090000007081,4537.880000052631,6453.74000009445,8345.86000013575,10242.240000177144
392.2042485544989,2125.039999999964,4189.910000045035,6179.4400000884625,8110.490000130613,10004.410000171953
441.22977962381265,1970.0699999983533,3933.740000039444,5885.940000082056,7823.710000124353,9746.130000166315
490.25531069312456,1903.299999998414,3805.8500000366525,5706.9700000781495,7606.030000119602,9502.490000160997
539.2808417624365,1873.689999998441,3747.280000035374,5620.6600000762655,7493.750000117151,9366.440000158027
588.3063728317502,1860.0799999984533,3720.150000034782,5580.170000075382,7440.160000115981,9300.070000156578
637.3319039010621,1853.829999998459,3707.650000034509,5561.460000074973,7415.260000115438,9269.060000155901
686.357434970374,1851.1899999984614,3702.370000034394,5553.550000074801,7404.730000115208,9255.910000155614
735.3829660396877,1850.449999998462,3700.9000000343617,5551.350000074753,7401.790000115144,9252.240000155534
784.4084971089997,1850.7799999984618,3701.5700000343763,5552.340000074774,7403.120000115173,9253.90000015557
833.4340281783116,1851.759999998461,3703.520000034419,5555.280000074838,7407.040000115258,9258.790000155677
882.4595592476253,1853.1599999984596,3706.32000003448,5559.47000007493,7412.63000011538,9265.79000015583
931.4850903169372,1854.859999998458,3709.710000034554,5564.560000075041,7419.410000115528,9274.260000156015
980.5106213862491,1856.7799999984563,3713.550000034638,5570.320000075167,7427.100000115696,9283.870000156225
1029.5361524555628,1858.8799999984544,3717.7600000347297,5576.640000075305,7435.52000011588,9294.400000156455
1078.5616835248748,1861.1499999984524,3722.300000034829,5583.440000075453,7444.590000116078,9305.730000156702
1127.5872145941867,1863.5599999984502,3727.120000034934,5590.670000075611,7454.2300001162885,9317.790000156965
1176.6127456635004,1866.1099999984478,3732.210000035045,5598.320000075778,7464.420000116511,9330.530000157243
1225.6382767328123,1868.7899999984454,3737.570000035162,5606.350000075953,7475.130000116745,9343.920000157535
1274.6638078021242,1871.5899999984429,3743.1800000352846,5614.770000076137,7486.35000011699,9357.940000157841
1323.689338871438,1874.5199999984402,3749.0400000354125,5623.560000076329,7498.080000117246,9372.590000158161
1372.7148699407498,1877.5799999984374,3755.150000035546,5632.720000076529,7510.290000117512,9387.870000158495
1421.7404010100618,1880.7599999984345,3761.5100000356847,5642.260000076737,7523.01000011779,9403.760000158842
1470.7659320793755,1884.0599999984315,3768.1100000358288,5652.160000076953,7536.220000118078,9420.270000159202
1519.7914631486874,1887.4799999984284,3774.9600000359783,5662.4400000771775,7549.920000118377,9437.400000159576
1568.8169942179993,1891.0399999984252,3782.0700000361335,5673.10000007741,7564.130000118687,9455.160000159964
1617.842525287313,1894.7099999984218,3789.420000036294,5684.130000077651,7578.840000119008,9473.540000160365
1666.868056356625,1898.5199999984184,3797.03000003646,5695.5400000779,7594.05000011934,9492.56000016078
1715.8935874259369,1902.4499999984148,3804.8900000366316,5707.330000078157,7609.770000119684,9512.22000016121
1764.9191184952506,1906.509999998411,3813.010000036809,5719.510000078423,7626.010000120038,9532.510000161652
1813.9446495645625,1910.6999999984073,3821.3900000369918,5732.080000078698,7642.770000120404,9553.46000016211
1862.9701806338744,1915.0199999984034,3830.0300000371803,5745.0400000789805,7660.050000120781,9575.070000162581
1911.9957117031863,1919.4699999983993,3838.940000037375,5758.400000079272,7677.87000012117,9597.330000163067
1961.0212427725,1924.0599999983951,3848.110000037575,5772.1600000795725,7696.21000012157,9620.270000163568
2010.046773841812,1928.7799999983908,3857.550000037781,5786.330000079882,7715.100000121983,9643.880000164083
2059.072304911124,1933.6399999983864,3867.270000037993,5800.9000000802,7734.540000122407,9668.170000164613
2108.0978359804376,1938.6399999983819,3877.2700000382115,5815.900000080527,7754.530000122843,9693.160000165159
2157.1233670497495,1943.7699999983772,3887.5400000384357,5831.310000080864,7775.080000123292,9718.84000016572
2206.1488981190614,1949.0499999983724,3898.100000038666,5847.150000081209,7796.190000123753,9745.240000166295
2255.174429188375,1954.4699999983675,3908.940000038903,5863.410000081564,7817.880000124226,9772.350000166887
2304.199960257687,1960.0399999983624,3920.080000039146,5880.120000081929,7840.150000124712,9800.190000167495
2353.225491326999,1965.7599999983572,3931.5100000393954,5897.260000082303,7863.010000125211,9828.760000168118
2402.2510223963127,1971.619999998352,3943.2400000396515,5914.850000082687,7886.470000125723,9858.080000168758
2451.2765534656246,1977.6399999983464,3955.270000039914,5932.900000083081,7910.5300001262485,9888.160000169415
2500.3020845349365,1983.7999999983408,3967.600000040183,5951.400000083485,7935.200000126787,9919.000000170088
2549.3276156042502,1990.129999998335,3980.2500000404593,5970.370000083899,7960.490000127339,9950.620000170778
2598.353146673562,1996.6099999983292,3993.210000040742,5989.810000084323,7986.420000127905,9983.020000171486
2647.378677742874,2003.2499999983231,4006.490000041032,6009.730000084758,8012.980000128485,10016.22000017221
2696.404208812188,2010.049999998317,4020.100000041329,6030.140000085204,8040.190000129079,10050.230000172953
2745.4297398814997,2017.0199999983106,4034.0300000416332,6051.04000008566,8068.060000129687,10085.070000173713
2794.4552709508116,2024.149999998304,4048.3000000419447,6072.450000086127,8096.59000013031,10120.740000174492
2843.4808020201253,2031.4599999982975,4062.9100000422636,6094.360000086605,8125.810000130948,10157.260000175289
2892.5063330894372,2038.9299999982907,4077.86000004259,6116.780000087095,8155.7100001316,10194.640000176105
2941.531864158749,2046.5799999982837,4093.160000042924,6139.740000087596,8186.310000132268,10232.89000017694
2990.557395228063,2054.4099999984223,4108.820000043265,6163.2200000881085,8217.630000132951,10272.030000177794
3039.582926297375,2062.419999998597,4124.830000043615,6187.250000088633,8249.66000013365,10312.080000178668
