Tangential Velocity,Orbital Period 1,Orbital Period 2,Orbital Period 3,Orbital Period 4,Orbital Period 5,Average Orbital Period,Absolute Uncertainty Orbital Period,Theoretical Period
5981.11,3071.09,3071.08,3071.08,3071.08,3071.09,3071.08,0.005,3071.082331
6079.17,3134.57,3134.57,3134.56,3134.57,3134.56,3134.57,0.005,3134.565549
6177.22,3201.36,3201.35,3201.36,3201.35,3201.35,3201.35,0.005,3201.353676
6275.27,3271.68,3271.68,3271.67,3271.68,3271.67,3271.68,0.005,3271.675034
6373.32,3345.78,3345.78,3345.78,3345.78,3345.78,3345.78,0.000,3345.779304
6471.37,3423.95,3423.94,3423.94,3423.94,3423.94,3423.94,0.005,3423.940007
6569.42,3506.46,3506.46,3506.46,3506.45,3506.46,3506.46,0.005,3506.457344
6667.47,3593.67,3593.66,3593.66,3593.66,3593.66,3593.66,0.005,3593.661437
6765.52,3685.92,3685.92,3685.91,3685.92,3685.92,3685.92,0.005,3685.916058
6863.57,3783.63,3783.62,3783.62,3783.63,3783.62,3783.62,0.005,3783.622911
6961.63,3887.23,3887.23,3887.22,3887.23,3887.23,3887.23,0.005,3887.22658
7059.68,3997.23,3997.22,3997.22,3997.22,3997.22,3997.22,0.005,3997.220264
7157.73,4114.16,4114.15,4114.15,4114.15,4114.16,4114.15,0.005,4114.152435
7255.78,4238.64,4238.63,4238.64,4238.63,4238.64,4238.64,0.005,4238.634611
7353.83,4371.36,4371.35,4371.35,4371.35,4371.35,4371.35,0.005,4371.350452
7451.88,4513.07,4513.07,4513.06,4513.07,4513.07,4513.07,0.005,4513.066461
7549.93,4664.65,4664.64,4664.65,4664.64,4664.65,4664.65,0.005,4664.644603
7647.98,4827.06,4827.06,4827.06,4827.05,4827.06,4827.06,0.005,4827.057279
7746.03,5001.41,5001.41,5001.40,5001.41,5001.40,5001.41,0.005,5001.405152
7844.08,5188.94,5188.94,5188.94,5188.94,5188.94,5188.94,0.000,5188.938489
7942.14,5391.09,5391.08,5391.08,5391.09,5391.08,5391.08,0.005,5391.082837
8040.19,5609.48,5609.47,5609.47,5609.47,5609.47,5609.47,0.005,5609.470077
8138.24,5845.98,5845.98,5845.97,5845.98,5845.98,5845.98,0.005,5845.976221
8236.29,6102.77,6102.77,6102.77,6102.77,6102.76,6102.77,0.005,6102.767667
8334.34,6382.36,6382.36,6382.36,6382.36,6382.36,6382.36,0.000,6382.358219
8432.39,6687.68,6687.68,6687.68,6687.68,6687.68,6687.68,0.000,6687.679826
8530.44,7022.18,7022.17,7022.17,7022.17,7022.17,7022.17,0.005,7022.17104
